,DEPTH,VP,RHOB,PHI,AI,CHECKSHOT
0,0.0,,,,,
1,0.1524,,,,,
2,0.3048,,,,,
3,0.4572,,,,,
4,0.6096,,,,,
5,0.762,,,,,
6,0.9144,,,,,
7,1.0668,,,,,
8,1.2192,,,,,
9,1.3716,,,,,
10,1.524,,,,,
11,1.6764,,,,,
12,1.8288,,,,,
13,1.9812,,,,,
14,2.1336,,,,,
15,2.286,,,,,
16,2.4384,,,,,
17,2.5908,,,,,
18,2.7432,,,,,
19,2.8956,,,,,
20,3.048,,,,,
21,3.2004,,,,,
22,3.3528,,,,,
23,3.5052,,,,,
24,3.6576,,,,,
25,3.81,,,,,
26,3.9624,,,,,
27,4.1148,,,,,
28,4.2672,,,,,
29,4.4196,,,,,
30,4.572,,,,,
31,4.7244,,,,,
32,4.8768,,,,,
33,5.0292,,,,,
34,5.1816,,,,,
35,5.334,,,,,
36,5.4864,,,,,
37,5.6388,,,,,
38,5.7912,,,,,
39,5.9436,,,,,
40,6.096,,,,,
41,6.2484,,,,,
42,6.4008,,,,,
43,6.5532,,,,,
44,6.7056,,,,,
45,6.858,,,,,
46,7.0104,,,,,
47,7.1628,,,,,
48,7.3152,,,,,
49,7.4676,,,,,
50,7.62,,,,,
51,7.7724,,,,,
52,7.9248,,,,,
53,8.0772,,,,,
54,8.2296,,,,,
55,8.382,,,,,
56,8.5344,,,,,
57,8.6868,,,,,
58,8.8392,,,,,
59,8.9916,,,,,
60,9.144,,,,,
61,9.2964,,,,,
62,9.4488,,,,,
63,9.6012,,,,,
64,9.7536,,,,,
65,9.906,,,,,
66,10.0584,,,,,
67,10.2108,,,,,
68,10.3632,,,,,
69,10.5156,,,,,
70,10.668,,,,,
71,10.8204,,,,,
72,10.9728,,,,,
73,11.1252,,,,,
74,11.2776,,,,,
75,11.43,,,,,
76,11.5824,,,,,
77,11.7348,,,,,
78,11.8872,,,,,
79,12.0396,,,,,
80,12.192,,,,,
81,12.3444,,,,,
82,12.4968,,,,,
83,12.6492,,,,,
84,12.8016,,,,,
85,12.954,,,,,
86,13.1064,,,,,
87,13.2588,,,,,
88,13.4112,,,,,
89,13.5636,,,,,
90,13.716,,,,,
91,13.8684,,,,,
92,14.0208,,,,,
93,14.1732,,,,,
94,14.3256,,,,,
95,14.478,,,,,
96,14.6304,,,,,
97,14.7828,,,,,
98,14.9352,,,,,
99,15.0876,,,,,
100,15.24,,,,,
101,15.3924,,,,,
102,15.5448,,,,,
103,15.6972,,,,,
104,15.8496,,,,,
105,16.002,,,,,
106,16.1544,,,,,
107,16.3068,,,,,
108,16.4592,,,,,
109,16.6116,,,,,
110,16.764,,,,,
111,16.9164,,,,,
112,17.0688,,,,,
113,17.2212,,,,,
114,17.3736,,,,,
115,17.526,,,,,
116,17.6784,,,,,
117,17.8308,,,,,
118,17.9832,,,,,
119,18.1356,,,,,
120,18.288,,,,,
121,18.4404,,,,,
122,18.5928,,,,,
123,18.7452,,,,,
124,18.8976,,,,,
125,19.05,,,,,
126,19.2024,,,,,
127,19.3548,,,,,
128,19.5072,,,,,
129,19.6596,,,,,
130,19.812,,,,,
131,19.9644,,,,,
132,20.1168,,,,,
133,20.2692,,,,,
134,20.4216,,,,,
135,20.574,,,,,
136,20.7264,,,,,
137,20.8788,,,,,
138,21.0312,,,,,
139,21.1836,,,,,
140,21.336,,,,,
141,21.4884,,,,,
142,21.6408,,,,,
143,21.7932,,,,,
144,21.9456,,,,,
145,22.098,,,,,
146,22.2504,,,,,
147,22.4028,,,,,
148,22.5552,,,,,
149,22.7076,,,,,
150,22.86,,,,,
151,23.0124,,,,,
152,23.1648,,,,,
153,23.3172,,,,,
154,23.4696,,,,,
155,23.622,,,,,
156,23.7744,,,,,
157,23.9268,,,,,
158,24.0792,,,,,
159,24.2316,,,,,
160,24.384,,,,,
161,24.5364,,,,,
162,24.6888,,,,,
163,24.8412,,,,,
164,24.9936,,,,,
165,25.146,1477.9822826388965,,,,676.5980971128608
166,25.2984,1477.9822826388965,,,,676.5980971128608
167,25.4508,1477.9822826388965,,,,676.5980971128608
168,25.6032,1477.9822826388965,,,,676.5980971128608
169,25.7556,1477.9822826388965,,,,676.5980971128608
170,25.908,1477.9822826388965,,,,676.5980971128608
171,26.0604,1477.9822826388965,,,,676.5980971128608
172,26.2128,1477.9822826388965,,,,676.5980971128608
173,26.3652,1477.9822826388965,,,,676.5980971128608
174,26.5176,1477.9822826388965,,,,676.5980971128608
175,26.67,1477.9822826388965,,,,676.5980971128608
176,26.8224,1477.9822826388965,,,,676.5980971128608
177,26.9748,1477.9822826388965,,,,676.5980971128608
178,27.1272,1477.9822826388965,,,,676.5980971128608
179,27.2796,1477.9822826388965,,,,676.5980971128608
180,27.432,1477.9822826388965,,,,676.5980971128608
181,27.5844,1477.9822826388965,,,,676.5980971128608
182,27.7368,1477.9822826388965,,,,676.5980971128608
183,27.8892,1477.9822826388965,,,,676.5980971128608
184,28.0416,1477.9822826388965,,,,676.5980971128608
185,28.194,1477.9822826388965,,,,676.5980971128608
186,28.3464,1477.9822826388965,,,,676.5980971128608
187,28.4988,1477.9822826388965,,,,676.5980971128608
188,28.6512,1477.9822826388965,,,,676.5980971128608
189,28.8036,1477.9822826388965,,,,676.5980971128608
190,28.956,1477.9822826388965,,,,676.5980971128608
191,29.1084,1477.9822826388965,,,,676.5980971128608
192,29.2608,1477.9822826388965,,,,676.5980971128608
193,29.4132,1477.9822826388965,,,,676.5980971128608
194,29.5656,1477.9822826388965,,,,676.5980971128608
195,29.718,1477.9822826388965,,,,676.5980971128608
196,29.8704,1477.9822826388965,,,,676.5980971128608
197,30.0228,1477.9822826388965,,,,676.5980971128608
198,30.1752,1477.9822826388965,,,,676.5980971128608
199,30.3276,1477.9822826388965,,,,676.5980971128608
200,30.48,1477.9822826388965,,,,676.5980971128608
201,30.6324,1477.9822826388965,,,,676.5980971128608
202,30.7848,1477.9822826388965,,,,676.5980971128608
203,30.9372,1477.9822826388965,,,,676.5980971128608
204,31.0896,1477.9822826388965,,,,676.5980971128608
205,31.242,1477.9822826388965,,,,676.5980971128608
206,31.3944,1477.9822826388965,,,,676.5980971128608
207,31.5468,1477.9822826388965,,,,676.5980971128608
208,31.6992,1477.9822826388965,,,,676.5980971128608
209,31.8516,1477.9822826388965,,,,676.5980971128608
210,32.004,1477.9822826388965,,,,676.5980971128608
211,32.1564,1477.9822826388965,,,,676.5980971128608
212,32.3088,1477.9822826388965,,,,676.5980971128608
213,32.4612,1477.9822826388965,,,,676.5980971128608
214,32.6136,1477.9822826388965,,,,676.5980971128608
215,32.766,1477.9822826388965,,,,676.5980971128608
216,32.9184,1477.9822826388965,,,,676.5980971128608
217,33.0708,1477.9822826388965,,,,676.5980971128608
218,33.2232,1477.9822826388965,,,,676.5980971128608
219,33.3756,1477.9822826388965,,,,676.5980971128608
220,33.528,1477.9822826388965,,,,676.5980971128608
221,33.6804,1477.9822826388965,,,,676.5980971128608
222,33.8328,1477.9822826388965,,,,676.5980971128608
223,33.9852,1477.9822826388965,,,,676.5980971128608
224,34.1376,1477.9822826388965,,,,676.5980971128608
225,34.29,1477.9822826388965,,,,676.5980971128608
226,34.4424,1477.9822826388965,,,,676.5980971128608
227,34.5948,1477.9822826388965,,,,676.5980971128608
228,34.7472,1477.9822826388965,,,,676.5980971128608
229,34.8996,1477.9822826388965,,,,676.5980971128608
230,35.052,1477.9822826388965,,,,676.5980971128608
231,35.2044,1477.9822826388965,,,,676.5980971128608
232,35.3568,1477.9822826388965,,,,676.5980971128608
233,35.5092,1477.9822826388965,,,,676.5980971128608
234,35.6616,1477.9822826388965,,,,676.5980971128608
235,35.814,1477.9822826388965,,,,676.5980971128608
236,35.9664,1477.9822826388965,,,,676.5980971128608
237,36.1188,1477.9822826388965,,,,676.5980971128608
238,36.2712,1477.9822826388965,,,,676.5980971128608
239,36.4236,1477.9822826388965,,,,676.5980971128608
240,36.576,1477.9822826388965,,,,676.5980971128608
241,36.7284,1477.9822826388965,,,,676.5980971128608
242,36.8808,1477.9822826388965,,,,676.5980971128608
243,37.0332,1477.9822826388965,,,,676.5980971128608
244,37.1856,1477.9822826388965,,,,676.5980971128608
245,37.338,1477.9822826388965,,,,676.5980971128608
246,37.4904,1477.9822826388965,,,,676.5980971128608
247,37.6428,1477.9822826388965,,,,676.5980971128608
248,37.7952,1477.9822826388965,,,,676.5980971128608
249,37.9476,1477.9822826388965,,,,676.5980971128608
250,38.1,1477.9822826388965,,,,676.5980971128608
251,38.2524,1477.9822826388965,,,,676.5980971128608
252,38.4048,1477.9822826388965,,,,676.5980971128608
253,38.5572,1477.9822826388965,,,,676.5980971128608
254,38.7096,1477.9822826388965,,,,676.5980971128608
255,38.862,1477.9822826388965,,,,676.5980971128608
256,39.0144,1477.9822826388965,,,,676.5980971128608
257,39.1668,1477.9822826388965,,,,676.5980971128608
258,39.3192,1477.9822826388965,,,,676.5980971128608
259,39.4716,1477.9822826388965,,,,676.5980971128608
260,39.624,1477.9822826388965,,,,676.5980971128608
261,39.7764,1477.9822826388965,,,,676.5980971128608
262,39.9288,1477.9822826388965,,,,676.5980971128608
263,40.0812,1477.9822826388965,,,,676.5980971128608
264,40.2336,1477.9822826388965,,,,676.5980971128608
265,40.386,1477.9822826388965,,,,676.5980971128608
266,40.5384,1477.9822826388965,,,,676.5980971128608
267,40.6908,1477.9822826388965,,,,676.5980971128608
268,40.8432,1477.9822826388965,,,,676.5980971128608
269,40.9956,1477.9822826388965,,,,676.5980971128608
270,41.148,1477.9822826388965,,,,676.5980971128608
271,41.3004,1477.9822826388965,,,,676.5980971128608
272,41.4528,1477.9822826388965,,,,676.5980971128608
273,41.6052,1477.9822826388965,,,,676.5980971128608
274,41.7576,1477.9822826388965,,,,676.5980971128608
275,41.91,1477.9822826388965,,,,676.5980971128608
276,42.0624,1477.9822826388965,,,,676.5980971128608
277,42.2148,1477.9822826388965,,,,676.5980971128608
278,42.3672,1477.9822826388965,,,,676.5980971128608
279,42.5196,1477.9822826388965,,,,676.5980971128608
280,42.672,1477.9822826388965,,,,676.5980971128608
281,42.8244,1477.9822826388965,,,,676.5980971128608
282,42.9768,1477.9822826388965,,,,676.5980971128608
283,43.1292,1477.9822826388965,,,,676.5980971128608
284,43.2816,1477.9822826388965,,,,676.5980971128608
285,43.434,1477.9822826388965,,,,676.5980971128608
286,43.5864,1477.9822826388965,,,,676.5980971128608
287,43.7388,1477.9822826388965,,,,676.5980971128608
288,43.8912,1477.9822826388965,,,,676.5980971128608
289,44.0436,1477.9822826388965,,,,676.5980971128608
290,44.196,1477.9822826388965,,,,676.5980971128608
291,44.3484,1477.9822826388965,,,,676.5980971128608
292,44.5008,1477.9822826388965,,,,676.5980971128608
293,44.6532,1477.9822826388965,,,,676.5980971128608
294,44.8056,1477.9822826388965,,,,676.5980971128608
295,44.958,1477.9822826388965,,,,676.5980971128608
296,45.1104,1477.9822826388965,,,,676.5980971128608
297,45.2628,1477.9822826388965,,,,676.5980971128608
298,45.4152,1477.9822826388965,,,,676.5980971128608
299,45.5676,1477.9822826388965,,,,676.5980971128608
300,45.72,1477.9822826388965,,,,676.5980971128608
301,45.8724,1477.9822826388965,,,,676.5980971128608
302,46.0248,1477.9822826388965,,,,676.5980971128608
303,46.1772,1477.9822826388965,,,,676.5980971128608
304,46.3296,1477.9822826388965,,,,676.5980971128608
305,46.482,1477.9822826388965,,,,676.5980971128608
306,46.6344,1477.9822826388965,,,,676.5980971128608
307,46.7868,1477.9822826388965,,,,676.5980971128608
308,46.9392,1477.9822826388965,,,,676.5980971128608
309,47.0916,1477.9822826388965,,,,676.5980971128608
310,47.244,1477.9822826388965,,,,676.5980971128608
311,47.3964,1477.9822826388965,,,,676.5980971128608
312,47.5488,1477.9822826388965,,,,676.5980971128608
313,47.7012,1477.9822826388965,,,,676.5980971128608
314,47.8536,1477.9822826388965,,,,676.5980971128608
315,48.006,1477.9822826388965,,,,676.5980971128608
316,48.1584,1477.9822826388965,,,,676.5980971128608
317,48.3108,1477.9822826388965,,,,676.5980971128608
318,48.4632,1477.9822826388965,,,,676.5980971128608
319,48.6156,1477.9822826388965,,,,676.5980971128608
320,48.768,1477.9822826388965,,,,676.5980971128608
321,48.9204,1477.9822826388965,,,,676.5980971128608
322,49.0728,1477.9822826388965,,,,676.5980971128608
323,49.2252,1477.9822826388965,,,,676.5980971128608
324,49.3776,1477.9822826388965,,,,676.5980971128608
325,49.53,1477.9822826388965,,,,676.5980971128608
326,49.6824,1477.9822826388965,,,,676.5980971128608
327,49.8348,1477.9822826388965,,,,676.5980971128608
328,49.9872,1477.9822826388965,,,,676.5980971128608
329,50.1396,1477.9822826388965,,,,676.5980971128608
330,50.292,1477.9822826388965,,,,676.5980971128608
331,50.4444,1477.9822826388965,,,,676.5980971128608
332,50.5968,1477.9822826388965,,,,676.5980971128608
333,50.7492,1477.9822826388965,,,,676.5980971128608
334,50.9016,1477.9822826388965,,,,676.5980971128608
335,51.054,1477.9822826388965,,,,676.5980971128608
336,51.2064,1477.9822826388965,,,,676.5980971128608
337,51.3588,1477.9822826388965,,,,676.5980971128608
338,51.5112,1477.9822826388965,,,,676.5980971128608
339,51.6636,1477.9822826388965,,,,676.5980971128608
340,51.816,1477.9822826388965,,,,676.5980971128608
341,51.9684,1477.9822826388965,,,,676.5980971128608
342,52.1208,1477.9822826388965,,,,676.5980971128608
343,52.2732,1477.9822826388965,,,,676.5980971128608
344,52.4256,1477.9822826388965,,,,676.5980971128608
345,52.578,1477.9822826388965,,,,676.5980971128608
346,52.7304,1477.9822826388965,,,,676.5980971128608
347,52.8828,1477.9822826388965,,,,676.5980971128608
348,53.0352,1477.9822826388965,,,,676.5980971128608
349,53.1876,1477.9822826388965,,,,676.5980971128608
350,53.34,1477.9822826388965,,,,676.5980971128608
351,53.4924,1477.9822826388965,,,,676.5980971128608
352,53.6448,1477.9822826388965,,,,676.5980971128608
353,53.7972,1477.9822826388965,,,,676.5980971128608
354,53.9496,1477.9822826388965,,,,676.5980971128608
355,54.102,1477.9822826388965,,,,676.5980971128608
356,54.2544,1477.9822826388965,,,,676.5980971128608
357,54.4068,1477.9822826388965,,,,676.5980971128608
358,54.5592,1477.9822826388965,,,,676.5980971128608
359,54.7116,1477.9822826388965,,,,676.5980971128608
360,54.864,1477.9822826388965,,,,676.5980971128608
361,55.0164,1477.9822826388965,,,,676.5980971128608
362,55.1688,1477.9822826388965,,,,676.5980971128608
363,55.3212,1477.9822826388965,,,,676.5980971128608
364,55.4736,1477.9822826388965,,,,676.5980971128608
365,55.626,1477.9822826388965,,,,676.5980971128608
366,55.7784,1477.9822826388965,,,,676.5980971128608
367,55.9308,1477.9822826388965,,,,676.5980971128608
368,56.0832,1477.9822826388965,,,,676.5980971128608
369,56.2356,1477.9822826388965,,,,676.5980971128608
370,56.388,1477.9822826388965,,,,676.5980971128608
371,56.5404,1477.9822826388965,,,,676.5980971128608
372,56.6928,1477.9822826388965,,,,676.5980971128608
373,56.8452,1477.9822826388965,,,,676.5980971128608
374,56.9976,1477.9822826388965,,,,676.5980971128608
375,57.15,1477.9822826388965,,,,676.5980971128608
376,57.3024,1477.9822826388965,,,,676.5980971128608
377,57.4548,1477.9822826388965,,,,676.5980971128608
378,57.6072,1477.9822826388965,,,,676.5980971128608
379,57.7596,1477.9822826388965,,,,676.5980971128608
380,57.912,1477.9822826388965,,,,676.5980971128608
381,58.0644,1477.9822826388965,,,,676.5980971128608
382,58.2168,1477.9822826388965,,,,676.5980971128608
383,58.3692,1477.9822826388965,,,,676.5980971128608
384,58.5216,1477.9822826388965,,,,676.5980971128608
385,58.674,1477.9822826388965,,,,676.5980971128608
386,58.8264,1477.9822826388965,,,,676.5980971128608
387,58.9788,1477.9822826388965,,,,676.5980971128608
388,59.1312,1477.9822826388965,,,,676.5980971128608
389,59.2836,1477.9822826388965,,,,676.5980971128608
390,59.436,1477.9822826388965,,,,676.5980971128608
391,59.5884,1477.9822826388965,,,,676.5980971128608
392,59.7408,1477.9822826388965,,,,676.5980971128608
393,59.8932,1477.9822826388965,,,,676.5980971128608
394,60.0456,1477.9822826388965,,,,676.5980971128608
395,60.198,1477.9822826388965,,,,676.5980971128608
396,60.3504,1477.9822826388965,,,,676.5980971128608
397,60.5028,1477.9822826388965,,,,676.5980971128608
398,60.6552,1477.9822826388965,,,,676.5980971128608
399,60.8076,1477.9822826388965,,,,676.5980971128608
400,60.96,1477.9822826388965,,,,676.5980971128608
401,61.1124,1477.9822826388965,,,,676.5980971128608
402,61.2648,1477.9822826388965,,,,676.5980971128608
403,61.4172,1477.9822826388965,,,,676.5980971128608
404,61.5696,1477.9822826388965,,,,676.5980971128608
405,61.722,1477.9822826388965,,,,676.5980971128608
406,61.8744,1477.9822826388965,,,,676.5980971128608
407,62.0268,1477.9822826388965,,,,676.5980971128608
408,62.1792,1477.9822826388965,,,,676.5980971128608
409,62.3316,1477.9822826388965,,,,676.5980971128608
